Gen_Index,Fuel_Cost	,Pmin,start_cost,Can_Spin,Min_Up,Min_Down
General Foods 1 NUG,36.844962318425395,0.4,1610.0000000000002,1,5,4
Kent CT 2,36.844962318425395,0.25,1100.0,1,2,1
Kent CT 1,36.844962318425395,0.4,4400.0,1,5,4
LGP NUG (Logan),24.862033623000002,0.4,21900.0,1,6,6
Kinsley Landfill,133.02623425,0.25,75.0,1,2,1
Cogentrix Portsmouth 2 (Lk.Kingman),21.70291473,0.4,5750.0,1,6,6
Cogentrix Portsmouth 1 (Lk.Kingman),21.70291473,0.4,5750.0,1,6,6
PCLP1 NUG,44.7817940085624,0.4,11600.0,1,5,4
Gilberton NUG,26.813964198,0.4,8200.0,1,6,6
Harrisburg NUG,21.70291473,0.4,1100.0,1,6,6
IUP NUG,133.02623425,0.25,452.50000000000006,1,2,1
Colver NUG,22.70655702,0.4,11000.0,1,6,6
Grant Town,28.839179460000004,0.4,8000.0,1,6,6
South River NUG,42.0208142279616,0.4,32589.999999999996,1,5,4
Mt Carmel Cogen (FosterWheeler),29.750566146,0.4,4300.0,1,6,6
Cogentrix Hopewell 2 (James River),14.984207353500002,0.4,4600.0,1,6,6
Cogentrix Hopewell 1 (James River),14.984207353500002,0.4,4600.0,1,6,6
Edgecombe 2 (Rocky Mt),101.63548101000002,0.4,5800.0,1,6,6
Edgecombe 1 (Rocky Mt),101.63548101000002,0.4,5800.0,1,6,6
Camden County RR NUG,46.393593288000005,0.4,2300.0,1,6,6
CPGP NUG (Chambers/Carneys PT),21.649745019,0.4,23990.0,1,6,6
Ebensburg NUG,31.953291552000003,0.4,5000.0,1,6,6
Baltimore Resco NUG (Bresco),26.597575116,0.4,5700.0,1,6,6
Hopewell Cogen 1 (HCF),44.0289970471896,0.4,40000.0,1,5,4
Cambria County NUG,22.563794085,0.4,8800.0,1,6,6
Essex County RR NUG (Covanta),46.617459504,0.4,6500.0,1,6,6
AES Beaver,21.70291473,0.4,12510.0,1,6,6
Warrior Run,18.612753669299998,0.4,18000.0,1,6,6
Del Resource Mgmt Inc NUG,39.301063053,0.4,7500.0,1,6,6
Camden COGEN,45.7874646096054,0.4,15900.0,1,5,4
Hopewell Coal (Polyester),33.569039301,0.4,6300.0,1,6,6
Altavista (Hall Branch),31.673468862000004,0.4,6300.0,1,6,6
Southampton 1,32.543955948000004,0.4,6300.0,1,6,6
Kenilworth NUG,42.054723984045005,0.4,1500.0,1,5,4
Hazelton LM 200,72.65590512357001,0.25,750.0,1,2,1
Hazelton LM 400,72.65590512357001,0.25,780.0,1,2,1
Hazelton GT 100,72.65590512357001,0.25,1475.0,1,2,1
Hazelton LM 300,72.65590512357001,0.25,775.0,1,2,1
Big Sandy 1,50.699649524723995,0.25,1400.0,1,2,1
Big Sandy (AEP) 2,21.70291473,0.4,80000.0,1,6,6
Big Sandy 4,50.699649524723995,0.25,1400.0,1,2,1
Big Sandy (AEP) 1,21.558592314,0.4,28000.0,1,6,6
Big Sandy 5,50.699649524723995,0.25,1400.0,1,2,1
Big Sandy 3,50.699649524723995,0.25,1400.0,1,2,1
Big Sandy 6,50.699649524723995,0.25,1400.0,1,2,1
Big Sandy 2,50.699649524723995,0.25,1400.0,1,2,1
Barkley 3,0.0,0.0,0.0,1,10,8
Barkley 2,0.0,0.0,0.0,1,10,8
Barkley 1,0.0,0.0,0.0,1,10,8
Barkley 4,0.0,0.0,0.0,1,10,8
Elmer Smith 1,24.605102991000003,0.4,15100.0,1,6,6
Elmer Smith 2,24.605102991000003,0.4,29000.0,1,6,6
Wolf Creek 6,0.0,0.0,0.0,1,10,8
Wolf Creek 5,0.0,0.0,0.0,1,10,8
Wolf Creek 4,0.0,0.0,0.0,1,10,8
Wolf Creek 1,0.0,0.0,0.0,1,10,8
Wolf Creek 2,0.0,0.0,0.0,1,10,8
Wolf Creek 3,0.0,0.0,0.0,1,10,8
Cooper 2,22.708398468,0.4,22500.0,1,6,6
Cooper 1,22.708398468,0.4,11600.0,1,6,6
Dale 2,21.70291473,0.4,2300.0,1,6,6
Dale 3,21.70291473,0.4,7500.0,1,6,6
Dale 4,21.70291473,0.4,7500.0,1,6,6
Dale 1,21.70291473,0.4,2300.0,1,6,6
Charles Crane CT 1,61.787652161202,0.25,350.0,1,2,1
Charles Crane 1,26.273451897,0.4,19000.0,1,6,6
Charles Crane 2,26.273451897,0.4,19500.0,1,6,6
Gould St 3,27.853496013,0.4,10400.0,1,6,6
Herbert Wagner 4,30.752873697000002,0.4,40000.0,1,6,6
Herbert Wagner 2,30.752873697000002,0.4,13500.0,1,6,6
Herbert Wagner 3,30.752873697000002,0.4,32400.0,1,6,6
