,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
NORTH-1,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,9.66,6.44,9.66,12.88,16.10,16.10,16.10,16.10,16.10,16.10,16.10,16.10,16.10,12.88,9.66,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,9.66,12.88,16.10,16.10,16.10,16.10,16.10,16.10,12.88,9.66,6.44,6.44
NORTH-2,0,0,0,0,0,0,17.60,17.60,26.40,17.60,26.40,35.20,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,35.20,26.40,17.60,17.60,17.60,17.60,17.60,17.60,17.60,17.60,17.60,17.60,17.60,17.60,17.60,26.40,35.20,44.00,44.00,44.00,44.00,44.00,44.00,35.20,26.40,17.60,17.60
NORTH-3,17.60,17.60,17.60,17.60,17.60,17.60,17.60,17.60,26.40,17.60,26.40,35.20,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,43.98,35.18,26.38,17.60,17.60,17.60,17.60,17.60,17.60,17.60,17.60,17.60,17.60,17.60,17.60,17.60,26.40,35.20,44.00,44.00,44.00,44.00,44.00,44.00,35.20,26.40,17.60,17.60
NORTH-4,87.60,87.60,87.60,87.60,87.60,87.60,87.60,87.60,131.40,157.30,175.20,219.00,219.00,219.00,219.00,219.00,219.00,219.00,219.00,219.00,219.00,175.20,131.40,87.60,87.60,87.60,87.60,87.60,87.60,87.60,87.60,87.60,87.60,87.60,87.60,87.60,131.40,175.20,219.00,219.00,219.00,219.00,219.00,219.00,175.20,131.40,87.60,87.60
NORTH-8,46.40,46.40,46.40,46.40,46.40,46.40,46.40,46.40,46.40,46.40,46.40,46.40,46.40,46.40,46.40,46.40,46.40,46.40,46.40,46.40,46.40,69.60,46.40,46.40,46.40,46.40,46.40,46.40,46.40,46.40,46.40,46.40,46.40,46.40,46.40,46.40,46.40,46.40,46.40,46.40,46.40,46.40,46.40,46.40,46.40,46.40,46.40,46.40
NORTH-9,31.60,31.60,31.60,31.60,31.60,31.60,31.60,31.60,47.40,31.60,38.58,54.38,70.18,79.00,79.00,79.00,79.00,79.00,79.00,79.00,63.20,47.40,31.60,31.60,31.60,31.60,31.60,31.60,31.60,31.60,31.60,31.60,31.60,31.60,31.60,31.60,47.40,63.20,79.00,79.00,79.00,79.00,79.00,79.00,63.20,47.40,31.60,31.60
NORTH-10,4.40,4.40,4.40,4.40,4.40,4.40,4.40,4.40,6.60,8.80,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,8.80,6.60,4.40,4.40,4.40,4.40,4.40,4.40,4.40,4.40,4.40,4.40,4.40,4.40,4.40,6.60,8.80,11.00,11.00,11.00,11.00,11.00,11.00,8.80,6.60,4.40,4.40
NORTH-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH-13,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,66.00,88.00,88.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,110.00,88.00,66.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,66.00,88.00,110.00,110.00,110.00,110.00,110.00,110.00,88.00,66.00,44.00,44.00
NORTH-14,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,38.79,32.00,32.00,48.00,64.00,80.00,80.00,72.68,80.00,80.00,80.00,80.00,64.00,48.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,48.00,64.00,80.00,80.00,80.00,80.00,80.00,80.00,64.00,48.00,32.00,32.00
